"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","45-54","All","All","All","All","All","All",TRUE,"0.782","0.736"," 0.823",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","55-64","All","All","All","All","All","All",TRUE,"0.783","0.739"," 0.823",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","65-74","All","All","All","All","All","All",TRUE,"0.820","0.779"," 0.856",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","75+","All","All","All","All","All","All",TRUE,"0.882","0.847"," 0.912",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","15-24","All","All","All","All","All","All",TRUE,"0.834","0.783"," 0.878",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","25-34","All","All","All","All","All","All",TRUE,"0.792","0.744"," 0.834",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","35-44","All","All","All","All","All","All",TRUE,"0.853","0.816"," 0.885",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","45-54","All","All","All","All","All","All",TRUE,"0.825","0.786"," 0.860",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","55-64","All","All","All","All","All","All",TRUE,"0.824","0.789"," 0.856",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","65-74","All","All","All","All","All","All",TRUE,"0.830","0.792"," 0.863",NA,NA,NA,NA,NA,NA,"None"
